AGEP,WKHP,COW,MAR,POBP,RELP,RAC1P,SEX,PINCP
35.0,40.0,1.0,1.0,303.0,0.0,1.0,1,0
28.0,44.0,1.0,1.0,6.0,1.0,1.0,0,1
23.0,30.0,1.0,5.0,6.0,2.0,8.0,1,0
64.0,50.0,2.0,1.0,6.0,0.0,1.0,0,1
39.0,10.0,4.0,1.0,53.0,1.0,1.0,0,0
46.0,40.0,1.0,5.0,6.0,2.0,1.0,1,0
44.0,45.0,1.0,3.0,139.0,0.0,1.0,0,1
44.0,40.0,2.0,1.0,210.0,0.0,6.0,0,1
30.0,55.0,1.0,1.0,8.0,0.0,9.0,0,1
25.0,20.0,5.0,1.0,6.0,0.0,1.0,0,0
61.0,10.0,3.0,1.0,6.0,1.0,1.0,1,1
30.0,35.0,1.0,5.0,6.0,4.0,1.0,1,0
23.0,45.0,1.0,1.0,11.0,0.0,1.0,0,1
18.0,20.0,1.0,5.0,6.0,2.0,8.0,0,0
32.0,40.0,1.0,1.0,207.0,1.0,6.0,1,0
30.0,25.0,6.0,5.0,344.0,5.0,1.0,1,0
22.0,25.0,1.0,5.0,6.0,2.0,1.0,0,0
51.0,35.0,3.0,5.0,6.0,0.0,9.0,1,0
60.0,40.0,2.0,5.0,303.0,13.0,8.0,0,1
57.0,50.0,1.0,1.0,303.0,1.0,1.0,1,0
63.0,40.0,4.0,2.0,17.0,6.0,1.0,1,0
36.0,12.0,1.0,1.0,233.0,1.0,6.0,1,0
29.0,40.0,1.0,5.0,6.0,0.0,1.0,1,1
56.0,50.0,3.0,1.0,49.0,0.0,1.0,1,1
24.0,15.0,1.0,1.0,430.0,2.0,1.0,0,0
58.0,40.0,1.0,1.0,303.0,0.0,1.0,0,0
48.0,40.0,5.0,2.0,6.0,13.0,6.0,1,1
59.0,16.0,1.0,5.0,6.0,0.0,1.0,1,0
33.0,35.0,2.0,5.0,6.0,2.0,6.0,0,0
55.0,40.0,1.0,1.0,508.0,1.0,7.0,1,0
31.0,38.0,1.0,5.0,303.0,0.0,8.0,1,0
47.0,50.0,1.0,1.0,207.0,1.0,6.0,0,1
46.0,42.0,1.0,3.0,6.0,0.0,1.0,1,0
57.0,40.0,6.0,1.0,6.0,1.0,1.0,1,0
35.0,40.0,1.0,1.0,303.0,1.0,1.0,0,0
17.0,8.0,1.0,5.0,6.0,2.0,9.0,0,0
61.0,60.0,6.0,1.0,36.0,1.0,1.0,0,1
60.0,40.0,6.0,2.0,207.0,0.0,6.0,0,1
24.0,20.0,1.0,5.0,6.0,17.0,9.0,1,0
25.0,16.0,1.0,5.0,6.0,2.0,6.0,0,0
45.0,98.0,1.0,1.0,303.0,0.0,8.0,0,1
58.0,40.0,1.0,5.0,6.0,0.0,1.0,0,1
24.0,55.0,1.0,5.0,6.0,0.0,1.0,1,1
48.0,40.0,1.0,1.0,233.0,0.0,1.0,0,1
33.0,20.0,1.0,3.0,49.0,2.0,1.0,1,0
21.0,25.0,1.0,5.0,6.0,2.0,1.0,0,0
66.0,18.0,1.0,1.0,34.0,0.0,1.0,1,0
58.0,14.0,1.0,1.0,6.0,1.0,1.0,1,0
18.0,40.0,1.0,5.0,6.0,2.0,1.0,1,0
53.0,25.0,6.0,1.0,4.0,1.0,1.0,0,0
28.0,40.0,1.0,5.0,17.0,13.0,1.0,1,0
49.0,35.0,3.0,1.0,303.0,1.0,1.0,1,0
22.0,24.0,1.0,5.0,6.0,2.0,8.0,1,0
23.0,35.0,1.0,5.0,6.0,0.0,1.0,1,1
27.0,40.0,1.0,5.0,6.0,0.0,1.0,0,1
22.0,40.0,3.0,5.0,6.0,2.0,1.0,1,0
70.0,25.0,6.0,3.0,9.0,0.0,1.0,1,1
34.0,40.0,1.0,5.0,6.0,2.0,6.0,0,0
35.0,40.0,1.0,3.0,6.0,7.0,1.0,1,0
65.0,40.0,3.0,1.0,6.0,0.0,1.0,0,0
21.0,20.0,2.0,5.0,6.0,17.0,6.0,1,0
35.0,40.0,1.0,5.0,15.0,16.0,6.0,1,0
51.0,40.0,1.0,1.0,303.0,0.0,8.0,0,0
48.0,50.0,5.0,1.0,362.0,1.0,1.0,0,1
47.0,40.0,6.0,1.0,247.0,1.0,6.0,1,0
56.0,40.0,4.0,1.0,51.0,8.0,1.0,1,1
46.0,45.0,1.0,3.0,26.0,0.0,1.0,0,1
50.0,20.0,1.0,1.0,303.0,1.0,8.0,0,0
57.0,40.0,3.0,5.0,17.0,0.0,2.0,0,0
22.0,48.0,1.0,5.0,233.0,2.0,6.0,1,0
39.0,35.0,3.0,1.0,6.0,9.0,1.0,0,0
62.0,40.0,1.0,1.0,18.0,0.0,1.0,0,0
45.0,40.0,2.0,3.0,6.0,15.0,1.0,1,0
47.0,42.0,1.0,1.0,119.0,1.0,1.0,0,1
62.0,24.0,1.0,5.0,215.0,0.0,1.0,0,0
68.0,4.0,6.0,1.0,34.0,0.0,1.0,0,0
36.0,50.0,1.0,4.0,247.0,2.0,6.0,1,0
25.0,30.0,1.0,5.0,6.0,3.0,6.0,0,0
23.0,30.0,1.0,5.0,6.0,12.0,1.0,0,0
22.0,10.0,1.0,5.0,303.0,2.0,8.0,1,0
21.0,20.0,1.0,5.0,6.0,2.0,6.0,1,0
53.0,50.0,1.0,1.0,6.0,1.0,1.0,0,1
33.0,60.0,1.0,3.0,48.0,0.0,2.0,0,0
18.0,40.0,1.0,5.0,6.0,5.0,1.0,0,0
27.0,35.0,1.0,5.0,24.0,13.0,2.0,0,0
45.0,40.0,1.0,1.0,6.0,0.0,1.0,0,1
20.0,15.0,1.0,5.0,6.0,2.0,8.0,0,0
53.0,80.0,1.0,1.0,233.0,0.0,6.0,0,0
63.0,30.0,7.0,1.0,364.0,0.0,8.0,0,0
27.0,40.0,1.0,5.0,6.0,0.0,6.0,1,1
38.0,46.0,1.0,1.0,17.0,1.0,1.0,0,1
30.0,2.0,1.0,5.0,6.0,11.0,1.0,0,0
38.0,40.0,1.0,3.0,48.0,0.0,1.0,1,1
22.0,20.0,1.0,5.0,6.0,11.0,6.0,0,0
54.0,50.0,1.0,3.0,6.0,13.0,1.0,0,1
57.0,37.0,3.0,1.0,6.0,0.0,1.0,1,1
38.0,50.0,3.0,1.0,10.0,0.0,8.0,0,1
59.0,25.0,3.0,3.0,360.0,15.0,8.0,1,1
37.0,50.0,1.0,1.0,6.0,1.0,1.0,0,1
52.0,40.0,1.0,3.0,6.0,0.0,1.0,1,0
41.0,50.0,1.0,1.0,6.0,0.0,6.0,0,1
49.0,40.0,1.0,5.0,36.0,0.0,1.0,0,1
60.0,40.0,1.0,1.0,207.0,0.0,6.0,1,1
18.0,8.0,1.0,5.0,6.0,2.0,2.0,1,0
35.0,40.0,1.0,5.0,6.0,5.0,6.0,1,0
59.0,40.0,1.0,2.0,233.0,5.0,6.0,1,0
36.0,40.0,3.0,1.0,6.0,1.0,1.0,1,1
31.0,40.0,4.0,1.0,27.0,1.0,6.0,0,1
37.0,40.0,1.0,1.0,210.0,1.0,6.0,1,1
54.0,70.0,5.0,1.0,303.0,0.0,1.0,0,1
53.0,50.0,7.0,1.0,6.0,1.0,1.0,0,1
56.0,40.0,3.0,1.0,315.0,0.0,1.0,1,0
23.0,40.0,1.0,5.0,6.0,2.0,8.0,0,0
46.0,40.0,4.0,1.0,6.0,1.0,1.0,0,1
52.0,40.0,6.0,1.0,34.0,0.0,1.0,1,0
59.0,40.0,1.0,1.0,31.0,0.0,1.0,0,1
31.0,50.0,1.0,5.0,6.0,2.0,1.0,1,0
61.0,40.0,1.0,3.0,36.0,0.0,1.0,0,1
60.0,44.0,3.0,2.0,6.0,0.0,1.0,0,1
41.0,55.0,1.0,1.0,207.0,0.0,6.0,1,1
43.0,40.0,1.0,1.0,303.0,1.0,8.0,0,1
22.0,30.0,1.0,5.0,6.0,2.0,1.0,0,0
57.0,36.0,1.0,5.0,233.0,0.0,6.0,1,1
27.0,40.0,6.0,5.0,36.0,0.0,1.0,0,1
40.0,40.0,1.0,3.0,303.0,12.0,8.0,0,1
30.0,65.0,7.0,5.0,26.0,13.0,1.0,0,0
44.0,40.0,1.0,1.0,233.0,0.0,6.0,0,1
20.0,12.0,1.0,5.0,6.0,2.0,1.0,0,0
51.0,33.0,1.0,4.0,6.0,0.0,1.0,1,0
55.0,50.0,1.0,1.0,31.0,0.0,2.0,0,1
26.0,28.0,1.0,5.0,6.0,2.0,6.0,1,0
23.0,40.0,1.0,5.0,6.0,2.0,1.0,1,0
56.0,40.0,1.0,1.0,6.0,1.0,1.0,1,0
26.0,40.0,1.0,5.0,6.0,0.0,1.0,1,0
22.0,8.0,2.0,5.0,53.0,17.0,3.0,0,0
25.0,4.0,1.0,5.0,6.0,10.0,1.0,0,0
75.0,32.0,6.0,1.0,138.0,0.0,1.0,0,0
64.0,12.0,1.0,2.0,28.0,0.0,2.0,1,1
23.0,27.0,1.0,1.0,6.0,0.0,1.0,1,0
24.0,42.0,1.0,5.0,54.0,0.0,1.0,0,0
39.0,40.0,1.0,5.0,303.0,0.0,8.0,1,0
28.0,40.0,2.0,5.0,233.0,2.0,6.0,0,1
22.0,40.0,2.0,5.0,6.0,2.0,8.0,1,0
23.0,32.0,1.0,5.0,6.0,11.0,1.0,1,0
35.0,40.0,1.0,1.0,226.0,0.0,6.0,0,1
58.0,45.0,1.0,1.0,212.0,1.0,1.0,1,1
40.0,40.0,1.0,1.0,303.0,1.0,8.0,0,0
24.0,38.0,1.0,1.0,6.0,1.0,1.0,0,0
42.0,30.0,6.0,5.0,6.0,2.0,1.0,1,0
23.0,40.0,1.0,5.0,6.0,2.0,1.0,0,0
56.0,40.0,6.0,1.0,303.0,0.0,8.0,0,0
57.0,40.0,1.0,5.0,247.0,0.0,6.0,0,1
21.0,12.0,1.0,5.0,6.0,2.0,1.0,0,0
21.0,30.0,6.0,5.0,6.0,2.0,8.0,1,0
29.0,40.0,1.0,1.0,6.0,0.0,1.0,1,0
31.0,40.0,1.0,1.0,6.0,0.0,9.0,0,1
21.0,65.0,1.0,5.0,6.0,2.0,1.0,0,0
26.0,60.0,1.0,5.0,6.0,2.0,1.0,0,0
58.0,35.0,4.0,3.0,6.0,0.0,1.0,1,0
46.0,16.0,1.0,5.0,6.0,0.0,1.0,1,0
43.0,50.0,1.0,1.0,6.0,0.0,1.0,0,1
64.0,40.0,2.0,1.0,42.0,0.0,1.0,0,1
56.0,40.0,1.0,1.0,164.0,0.0,1.0,1,1
37.0,40.0,1.0,1.0,6.0,0.0,8.0,0,0
62.0,40.0,7.0,1.0,212.0,1.0,1.0,0,1
55.0,36.0,1.0,1.0,247.0,6.0,6.0,1,0
21.0,40.0,1.0,5.0,158.0,2.0,1.0,0,0
49.0,40.0,1.0,1.0,6.0,0.0,2.0,0,0
34.0,40.0,1.0,1.0,6.0,0.0,8.0,1,0
18.0,10.0,6.0,5.0,53.0,17.0,1.0,1,0
26.0,40.0,1.0,1.0,6.0,9.0,8.0,1,0
32.0,40.0,1.0,1.0,27.0,0.0,6.0,0,0
24.0,30.0,1.0,1.0,246.0,1.0,1.0,1,0
63.0,1.0,6.0,1.0,18.0,0.0,1.0,0,1
37.0,50.0,1.0,1.0,6.0,0.0,1.0,0,1
17.0,10.0,1.0,5.0,6.0,2.0,1.0,1,0
66.0,48.0,1.0,1.0,303.0,0.0,1.0,0,0
48.0,40.0,2.0,1.0,303.0,0.0,1.0,0,0
35.0,40.0,7.0,1.0,13.0,0.0,1.0,0,1
29.0,20.0,3.0,3.0,6.0,0.0,1.0,1,0
21.0,15.0,1.0,5.0,6.0,0.0,1.0,1,0
53.0,40.0,2.0,3.0,6.0,0.0,1.0,1,1
54.0,40.0,1.0,1.0,207.0,0.0,6.0,0,0
68.0,10.0,1.0,1.0,6.0,1.0,1.0,1,0
43.0,32.0,6.0,5.0,303.0,0.0,8.0,1,0
35.0,40.0,1.0,1.0,6.0,0.0,1.0,0,0
36.0,40.0,1.0,5.0,6.0,13.0,2.0,0,0
29.0,50.0,1.0,5.0,6.0,0.0,1.0,0,1
27.0,40.0,1.0,5.0,6.0,5.0,1.0,1,0
20.0,40.0,1.0,5.0,6.0,2.0,1.0,1,0
40.0,5.0,6.0,1.0,6.0,1.0,1.0,1,0
54.0,40.0,1.0,3.0,132.0,0.0,1.0,1,1
58.0,30.0,7.0,1.0,6.0,0.0,1.0,1,1
26.0,20.0,1.0,5.0,6.0,2.0,1.0,1,0
42.0,45.0,1.0,1.0,6.0,1.0,1.0,1,0
82.0,25.0,3.0,2.0,6.0,0.0,1.0,1,1
49.0,40.0,1.0,1.0,303.0,1.0,8.0,1,0
46.0,36.0,1.0,5.0,303.0,0.0,8.0,0,0
39.0,30.0,1.0,1.0,210.0,0.0,6.0,0,0
58.0,23.0,1.0,1.0,207.0,6.0,6.0,1,0
58.0,60.0,7.0,1.0,6.0,1.0,9.0,1,1
67.0,40.0,1.0,3.0,1.0,9.0,8.0,1,1
40.0,35.0,7.0,5.0,6.0,2.0,1.0,1,0
55.0,8.0,3.0,1.0,207.0,0.0,6.0,0,0
38.0,60.0,1.0,1.0,303.0,0.0,1.0,0,0
57.0,40.0,1.0,1.0,209.0,1.0,6.0,0,1
46.0,45.0,2.0,1.0,6.0,0.0,1.0,1,1
64.0,36.0,1.0,3.0,138.0,0.0,1.0,1,1
46.0,40.0,1.0,1.0,303.0,0.0,8.0,1,0
38.0,40.0,3.0,1.0,6.0,0.0,1.0,1,0
42.0,10.0,3.0,1.0,6.0,1.0,1.0,1,0
46.0,40.0,1.0,1.0,233.0,0.0,6.0,1,1
27.0,72.0,1.0,1.0,303.0,16.0,1.0,0,0
59.0,40.0,4.0,1.0,6.0,9.0,2.0,1,1
55.0,40.0,2.0,3.0,6.0,2.0,1.0,0,0
49.0,19.0,3.0,5.0,6.0,13.0,1.0,1,0
58.0,32.0,4.0,1.0,60.0,1.0,7.0,1,0
43.0,40.0,6.0,1.0,303.0,0.0,8.0,0,0
49.0,43.0,1.0,1.0,6.0,0.0,1.0,1,1
51.0,40.0,1.0,1.0,242.0,0.0,6.0,0,1
30.0,40.0,2.0,1.0,207.0,1.0,6.0,0,0
62.0,24.0,2.0,1.0,48.0,0.0,1.0,1,1
52.0,40.0,3.0,1.0,6.0,0.0,1.0,1,0
44.0,40.0,1.0,3.0,34.0,0.0,2.0,1,1
38.0,40.0,3.0,1.0,6.0,0.0,1.0,0,1
58.0,40.0,4.0,5.0,6.0,0.0,1.0,0,1
59.0,30.0,4.0,3.0,312.0,0.0,1.0,0,1
32.0,20.0,1.0,1.0,6.0,1.0,1.0,1,0
41.0,40.0,1.0,1.0,312.0,0.0,1.0,0,0
59.0,40.0,1.0,1.0,303.0,0.0,8.0,0,0
52.0,40.0,3.0,1.0,6.0,0.0,1.0,1,1
28.0,40.0,1.0,1.0,6.0,9.0,1.0,0,0
28.0,40.0,1.0,5.0,6.0,0.0,8.0,1,0
53.0,40.0,1.0,1.0,6.0,0.0,1.0,0,1
31.0,40.0,4.0,5.0,6.0,0.0,1.0,1,1
28.0,42.0,1.0,5.0,41.0,0.0,1.0,0,1
52.0,30.0,6.0,3.0,36.0,11.0,1.0,1,0
66.0,5.0,8.0,3.0,6.0,0.0,1.0,0,0
34.0,40.0,2.0,5.0,6.0,13.0,9.0,1,1
36.0,40.0,1.0,1.0,6.0,0.0,1.0,0,1
61.0,50.0,2.0,1.0,6.0,0.0,2.0,0,1
51.0,40.0,1.0,1.0,6.0,0.0,1.0,0,1
54.0,48.0,1.0,3.0,303.0,5.0,8.0,0,0
44.0,35.0,3.0,1.0,233.0,1.0,6.0,1,1
54.0,60.0,8.0,1.0,217.0,0.0,6.0,0,0
24.0,40.0,1.0,5.0,8.0,2.0,2.0,0,0
21.0,20.0,1.0,5.0,6.0,17.0,1.0,1,0
67.0,40.0,6.0,1.0,32.0,0.0,1.0,0,1
46.0,40.0,1.0,1.0,247.0,0.0,6.0,0,0
37.0,21.0,1.0,1.0,6.0,0.0,1.0,1,0
41.0,40.0,1.0,1.0,303.0,1.0,1.0,0,0
45.0,45.0,1.0,1.0,207.0,1.0,6.0,0,1
23.0,28.0,1.0,5.0,6.0,2.0,6.0,0,0
33.0,40.0,1.0,5.0,6.0,2.0,8.0,0,0
17.0,10.0,6.0,5.0,6.0,2.0,3.0,1,0
32.0,40.0,4.0,5.0,6.0,0.0,1.0,1,1
29.0,40.0,1.0,5.0,6.0,4.0,8.0,0,0
74.0,60.0,6.0,3.0,41.0,0.0,1.0,0,0
51.0,40.0,1.0,3.0,303.0,0.0,8.0,1,0
33.0,40.0,1.0,5.0,6.0,0.0,9.0,0,1
28.0,40.0,2.0,5.0,6.0,10.0,6.0,1,0
42.0,40.0,1.0,1.0,6.0,1.0,8.0,0,0
27.0,40.0,1.0,5.0,6.0,12.0,8.0,0,1
50.0,40.0,1.0,4.0,233.0,0.0,6.0,1,0
30.0,40.0,2.0,5.0,51.0,17.0,1.0,0,1
18.0,25.0,1.0,5.0,6.0,17.0,1.0,1,0
54.0,40.0,4.0,1.0,6.0,1.0,1.0,0,1
21.0,6.0,1.0,5.0,6.0,2.0,6.0,1,0
29.0,55.0,1.0,5.0,6.0,2.0,1.0,1,1
40.0,30.0,1.0,1.0,207.0,1.0,6.0,1,1
31.0,35.0,1.0,4.0,6.0,15.0,1.0,0,0
43.0,40.0,3.0,1.0,6.0,1.0,1.0,0,1
21.0,13.0,1.0,5.0,6.0,0.0,6.0,1,0
40.0,40.0,1.0,1.0,6.0,1.0,1.0,0,1
32.0,40.0,1.0,5.0,6.0,12.0,8.0,1,0
27.0,70.0,1.0,5.0,6.0,13.0,1.0,1,1
66.0,40.0,4.0,3.0,6.0,0.0,1.0,1,0
49.0,40.0,6.0,5.0,303.0,0.0,8.0,1,0
43.0,40.0,6.0,1.0,303.0,1.0,1.0,0,0
55.0,40.0,1.0,1.0,303.0,1.0,1.0,0,0
28.0,40.0,4.0,5.0,6.0,0.0,1.0,1,0
55.0,40.0,1.0,1.0,116.0,0.0,7.0,0,1
28.0,40.0,1.0,5.0,6.0,7.0,3.0,1,0
28.0,40.0,1.0,5.0,6.0,0.0,1.0,1,1
45.0,40.0,1.0,5.0,25.0,0.0,1.0,0,1
66.0,25.0,6.0,3.0,36.0,0.0,1.0,0,1
33.0,42.0,4.0,1.0,6.0,0.0,1.0,0,1
23.0,10.0,1.0,5.0,6.0,2.0,1.0,1,0
60.0,20.0,1.0,5.0,45.0,2.0,1.0,1,0
48.0,60.0,1.0,1.0,24.0,0.0,6.0,0,1
32.0,45.0,2.0,3.0,45.0,0.0,9.0,1,0
24.0,40.0,1.0,1.0,303.0,1.0,8.0,0,0
65.0,40.0,5.0,5.0,48.0,0.0,2.0,0,0
23.0,25.0,1.0,5.0,303.0,2.0,8.0,1,0
54.0,40.0,1.0,1.0,303.0,0.0,8.0,0,0
60.0,20.0,6.0,1.0,233.0,1.0,6.0,1,0
50.0,45.0,6.0,1.0,214.0,1.0,1.0,0,1
20.0,27.0,1.0,5.0,303.0,2.0,1.0,1,0
39.0,40.0,1.0,5.0,6.0,2.0,2.0,1,0
33.0,40.0,1.0,5.0,209.0,0.0,6.0,1,1
46.0,40.0,1.0,1.0,303.0,0.0,8.0,0,1
22.0,5.0,1.0,5.0,6.0,10.0,1.0,0,0
62.0,45.0,1.0,1.0,6.0,0.0,1.0,1,1
47.0,40.0,1.0,1.0,217.0,0.0,6.0,0,0
35.0,40.0,1.0,5.0,25.0,13.0,1.0,0,1
47.0,40.0,1.0,1.0,6.0,1.0,1.0,1,1
58.0,50.0,1.0,1.0,110.0,1.0,1.0,1,1
23.0,40.0,5.0,3.0,36.0,13.0,1.0,0,1
32.0,40.0,4.0,1.0,48.0,1.0,6.0,1,1
66.0,35.0,1.0,1.0,6.0,0.0,1.0,0,1
55.0,3.0,7.0,1.0,207.0,1.0,6.0,0,1
30.0,40.0,1.0,5.0,233.0,2.0,6.0,1,0
28.0,30.0,2.0,5.0,109.0,2.0,1.0,1,0
63.0,40.0,1.0,4.0,6.0,13.0,1.0,0,1
23.0,25.0,1.0,5.0,6.0,13.0,1.0,1,0
17.0,9.0,1.0,5.0,6.0,2.0,1.0,1,0
25.0,24.0,1.0,5.0,6.0,2.0,6.0,0,0
43.0,4.0,5.0,1.0,1.0,0.0,2.0,1,1
32.0,40.0,1.0,1.0,207.0,0.0,6.0,0,1
20.0,40.0,1.0,5.0,6.0,5.0,8.0,1,0
21.0,7.0,2.0,5.0,6.0,2.0,9.0,0,0
35.0,38.0,2.0,1.0,6.0,0.0,3.0,1,0
39.0,40.0,1.0,1.0,240.0,1.0,6.0,1,1
41.0,50.0,1.0,1.0,33.0,0.0,1.0,1,1
30.0,46.0,2.0,5.0,6.0,12.0,8.0,1,0
78.0,1.0,6.0,1.0,22.0,1.0,2.0,0,0
18.0,10.0,2.0,5.0,6.0,2.0,1.0,0,0
32.0,40.0,1.0,1.0,210.0,0.0,6.0,0,1
46.0,40.0,6.0,1.0,399.0,0.0,8.0,0,0
38.0,40.0,1.0,5.0,6.0,16.0,8.0,0,0
65.0,8.0,6.0,5.0,6.0,0.0,1.0,0,0
67.0,50.0,1.0,1.0,6.0,1.0,1.0,0,1
47.0,40.0,7.0,5.0,303.0,0.0,1.0,0,0
27.0,36.0,1.0,1.0,6.0,2.0,8.0,1,0
61.0,25.0,3.0,1.0,6.0,0.0,1.0,0,1
20.0,45.0,5.0,5.0,26.0,17.0,1.0,0,0
24.0,45.0,1.0,1.0,6.0,1.0,1.0,1,0
